School Name,Graduate,Region
Lycée Qualifiant Hassan II,Morocco88,Rabat-Salé-Kénitra
Lycée Qualifiant Mohamed V,Morocco88,Rabat-Salé-Kénitra
Lycée Qualifiant Lalla Aicha,Morocco88,Rabat-Salé-Kénitra
Collège Lalla Kenza,Morocco88,Rabat-Salé-Kénitra
Lycée Qualifiant Moulay Youssef,Morocco88,Rabat-Salé-Kénitra
Lycée Qualifiant Lalla Nazha,Morocco88,Rabat-Salé-Kénitra
Lycèe Ibnou Battouta,Morocco88,Rabat-Salé-Kénitra
Lycèe Ibnou Rochd (Rabat),Morocco88,Rabat-Salé-Kénitra
Lycèe Charif Idrissi (Rabat),Morocco88,Rabat-Salé-Kénitra
Lycèe Moulay Abdellah,Morocco88,Rabat-Salé-Kénitra
Lycèe Ibrahim Roudani (Rabat),Morocco88,Rabat-Salé-Kénitra
Lycèe Abdellah Guennoun,Morocco88,Rabat-Salé-Kénitra
Lycèe Ibrahim Al Mawsili,Morocco88,Rabat-Salé-Kénitra
Lycèe Al Moutanabbi,Morocco88,Rabat-Salé-Kénitra
Lycèe Salama Masadeq,Morocco88,Rabat-Salé-Kénitra
Lycèe Abderrahman Nasser,Morocco88,Rabat-Salé-Kénitra
Lycèe Chraibi,Morocco88,Rabat-Salé-Kénitra
Lycèe Taha Hussein (Kenitra),Morocco88,Rabat-Salé-Kénitra
Lycèe Ibnou Rochd (Temara),Morocco88,Rabat-Salé-Kénitra
Lycèe Al Imam Boukhari,Morocco88,Rabat-Salé-Kénitra
Lycèe Al Imam Ghazali,Morocco88,Rabat-Salé-Kénitra
Collège Moulay Ismail,Morocco88,Rabat-Salé-Kénitra
Lycèe Moulay Ibn Noussair,Morocco88,Rabat-Salé-Kénitra
Collège Al Jahidh,Morocco88,Rabat-Salé-Kénitra
Lycèe Al Jahidh,Morocco88,Rabat-Salé-Kénitra
Lycée Qualifiant Moulay Idriss,Morocco88,Fès-Meknès
Lycée Qualifiant Oum Elbanine,Morocco88,Fès-Meknès
Lycée Qualifiant Ibn Hazm,Morocco88,Fès-Meknès
Collège Touria Sakaat,Morocco88,Fès-Meknès
Lycèe Moulay Hassan,Morocco88,Fès-Meknès
Lycèe Moulay Slimane,Morocco88,Fès-Meknès
Lycèe Al Adarissa,Morocco88,Fès-Meknès
Lycèe Khawarizmi,Morocco88,Fès-Meknès
Collégé Zohour,Morocco88,Fès-Meknès
Lycèe Abdelkarim Raiss,Morocco88,Fès-Meknès
Lycèe Michlifen,Morocco88,Fès-Meknès
Lycèe Mohammed V (Azrou),Morocco88,Fès-Meknès
Collège Al Wahda,Morocco88,Fès-Meknès
Lycèe Marjiia,Morocco88,Fès-Meknès
Lycèe Lalla Amina,Morocco88,Fès-Meknès
Collège Ibn Tofail (Meknes),Morocco88,Fès-Meknès
Lycèe Al Bassatine,Morocco88,Fès-Meknès
Collège Ahmed Chawki,Morocco88,Fès-Meknès
Lycèe 18 Novembre,Morocco88,Fès-Meknès
Collégé Acharaf,Morocco88,Marrakech-Safi
Lycée Qualifiant Acharaf,Morocco88,Marrakech-Safi
Lycée Qualifiant Mohamed V,Morocco88,Marrakech-Safi
Lycée Qualifiant Mohamed VI,Morocco88,Marrakech-Safi
Collège Idriss 2,Morocco88,Marrakech-Safi
Lycèe Charif Idrissi (Safi),Morocco88,Marrakech-Safi
Lycèe Al Hidaya Al Islamyya,Morocco88,Marrakech-Safi
Lycèe Youssof Ibnou Tachafine,Morocco88,Marrakech-Safi
Lycèe Fatima Mernissi,Morocco88,Marrakech-Safi
Lycèe Zarktouni,Morocco88,Marrakech-Safi
Lycèe Abou Abbas Sabti,Morocco88,Marrakech-Safi
Lycèe Sahnoune,Morocco88,Marrakech-Safi
Lycèe Zineb Nafzawya,Morocco88,Marrakech-Safi
Collège Taha Houssein,Morocco88,Marrakech-Safi
Collège Fadwa Toukane,Morocco88,Marrakech-Safi
Collège Mohammed V,Morocco88,Marrakech-Safi
Lycèe Rhamna,Morocco88,Marrakech-Safi
Collège El Farabi,Morocco88,Marrakech-Safi
Lycèe Chahid Saleh Sarghini,Morocco88,Marrakech-Safi
Lycèe Ibn Al Khatib,Morocco88,Tanger-Tetouan-AlHouceima
Collège Mohammed VI (Tanger),Morocco88,Tanger-Tetouan-AlHouceima
Lycèe Zineb Annafzawya (Tanger),Morocco88,Tanger-Tetouan-AlHouceima
Lycèe Moulay Rachid,Morocco88,Tanger-Tetouan-AlHouceima
Collège Mohammed V (Tanger),Morocco88,Tanger-Tetouan-AlHouceima
Collège Ibn Hicham,Morocco88,Casablanca-Settat
Lycèe Badr,Morocco88,Casablanca-Settat
Lycèe Ibn Battouta (Casa),Morocco88,Casablanca-Settat
Lycèe Ibn Bannae Mourrakouchi,Morocco88,Casablanca-Settat
Lycèe Nador,Morocco88,Oriental
Lycèe Abdelkarim Khattabi,Morocco88,Oriental
Lycèe Mohammed 5 (Nador),Morocco88,Oriental
Lycèe Taha Hussein (Nador),Morocco88,Oriental